Требования (текстовые), Требования(Макеты)				
Чек-лист и результаты выполнения тестов: тестирование вёрстки				
Чек-лист и результаты выполнения тестов: тестирование вёрстки: Форма бронирования для тарифа "Повседневный"				
№	Описание проверки	Яндекс Браузер, 800×600	Firefox, 1920×1080	Ссылка на баг-репорт
Т1	Под окном с адресом маршрута есть форма бронирования 	Passed	Passed	
Т2	Форма у окна формы бронирования прямоугольная с укругленными углами 	Passed	Passed	
Т3	Имеются границы серого цвета у окна формы бронирования 	Passed	Passed	
Т4	Фон внутри окна формы бронирования - белый	Passed	Passed	
Т5	Полосы прокрутки нет, если весь контент и так помещается на одной странице.	Skipped	Failed	Б-1 , В Яндекс Браузере при разрешении 800*600 весь контент в форме бронирования не помещается, поэтому имееется полоса прокрутки 
Т6	В верхнем левом углу формы бронирования располагается кнопка со стрелкой влево для возрата выбора транспорта	Passed	Passed	
Т7	В вверху формы бронирования имеются иконки тарифов в виде машин (серая, синяя, зелёная) ,	Passed	Passed	
Т8	Стартовое состояние формы бронирования - выбран тариф Повседневный, поля «Добавить права» и «Способ оплаты» пустые	Passed	Passed	
Т9	Для выбора доступно три тарифа: Повседневный, Походный, Роскошный	Passed	Passed	
Т10	Область выбранного тарифа для каршеринга подсвечивается серым	Failed	Failed	Б-2
Т11	Текст выбранного тарифа для каршеринга меняется с серого на чёрный 	Passed	Passed	
Т12	Под иконками машин есть названия тарифных планов (Повседневный, походный, роскошный)	Passed	Passed	
Т13	Названия тарифных планов выполнены серым шрифтом 	Passed	Passed	
тестирование вёрстки: Блок с деталями				
Т14	Под названиями тарифов есть блок с деталями тарифа 	Passed	Passed	
Т15	Форма блока с деталями тарифа прямоугольная с укругленными углами 	Passed	Passed	
Т16	Цвет фона внутри блока с деталями тарифа - белый	Passed	Passed	
Т17	Имеются границы серого цвета у блока с деталями тарифа	Passed	Passed	
Т18	В центре блока с деталями тарифа марка машины "BMW 750" 	Passed	Passed	
Т19	Цвет текста марки машины - чёрный	Passed	Passed	
Т20	Текст марки машины выронен по центру	Passed	Passed	
Т21	Под маркой машины имеется Заголовок тарифа "Просто по делам, ничего лишнего"	Passed	Passed	
Т22	Цвет текста заголовка тарифа - чёрный	Passed	Passed	
Т23	Заголовок тарифа выронен по центру	Passed	Passed	
Т24	Под Заголовком есть подзаголовок тарифа "n мин — 15 минут бесплатного ожидания"	Passed	Passed	
Т25	Цвет текста подзаголовка тарифа - серый	Passed	Passed	
Т26	Подзаголовок тарифа выронен по центру	Passed	Passed	
Т27	Под подзаговком тарифа иконка серой машины	Passed	Passed	
Т28	Иконка машины выронена по центру	Passed	Passed	
Т29	Под иконкой есть дополнительные параметры "видеорегистратор · зарядка для телефона"	Passed	Passed	
Т30	Цвет текста дополнительных параметров - серый	Passed	Passed	
Т31	Текст дополнительных параметров выровнен по центру	Passed	Passed	
Тестирование вёрстки: Добавить права				
Т32	Под блоком с деталями есть Кнопка-поле "Добавить права"	Passed	Passed	
Т33	Форма у Кнопки-поля "Добавить права" - прямоугольная, с укруглёнными углами	Passed	Passed	
Т34	Цвет границ у Кнопки-поля "Добавить права" - серая	Passed	Passed	
Т35	Фон внутри Кнопки-поля "Добавить права" - белая	Passed	Passed	
Т36	Внутри Кнопки-поля "Добавить права" есть текст - "Добавить права"	Passed	Passed	
Т37	Текст Кнопки-поля "Добавить права" не касается границ	Passed	Passed	
Т38	Цвет текста Кнопки-поля "Добавить права" - серый	Passed	Passed	
Т39	Текст Кнопки-поля "Добавить права" выровнен по левому краю с оступом 	Passed	Passed	
Т40	При нажатии на Кнопку-поля "Добавить права" открывает окно "Добавление прав"	Passed	Passed	
Т41	Если документы прошли верификацию, рамка Кнопки-поля подсвечивается зелёным	Passed	Passed	
Т42	Текст Кнопки-поля "Добавить права" меняется на "Права"	Passed	Passed	
Т43	Цвет текста поля "Права" - чёрный	Passed	Passed	
Т44	Текст поля "Права" выровнен по правому краю с оступом  	Passed	Passed	
Т45	У правого края внутри Кнопки-поля "Добавить права" появляется зелёная галочка, после прохожедния верификации	Failed	Failed	Б-16
Т46	Если документы не прошли верификацию, рамка поля подсвечивается красным	Skipped	Skipped	Функция провала верификации не реализована, поэтому пропуск
Т47	У правого края внутри Кнопки-поля "Добавить права" появляется красный крестик	Skipped	Skipped	
Т48	Если нажать на Кнопку-поле после провала верификации, снова откроется форма «Добавление прав»	Skipped	Skipped	
Тестирование вёрстки: Способ оплаты                                				
Т49	Под кнопкой-полем "Добавить права" есть Кнопка-поле "Способ оплаты"	Passed	Passed	
Т49	Форма у Кнопки-поля "Способ оплаты" - прямоугольная, с укруглёнными углами	Passed	Passed	
Т50	Цвет границ у Кнопки-поля "Способ оплаты" - серый	Passed	Passed	
Т51	Фон внутри Кнопки-поля "Способ оплаты" - белый	Passed	Passed	
Т52	Внутри Кнопки-поля "Способ оплаты" есть текст - "Способ оплаты"	Passed	Passed	
Т53	Текст Кнопки-поля "Способ оплаты" не касается границ	Passed	Passed	
Т54	Цвет текста у Кнопки-поля "Способ оплаты" - серый 	Passed	Passed	
Т55	Текст Кнопки-поля "Способ оплаты" выровнен по левому краю с оступом	Passed	Passed	
Т56	Справа от текста "Способ оплаты" есть текст "Добавить"	Passed	Passed	
Т57	Цвет текста "Добавить" - серый	Passed	Passed	
Т58	Справа от текста "Добавить" есть иконка пластиковой карточки	Passed	Passed	
Т59	Справа от Иконки есть стрелка вправо	Passed	Passed	
Т60	После добавления карты, Текст "Добавить" меняется на "Карта"	Passed	Passed	
